Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.31     0.00       13     0.00     0.00  is_input_port
  0.00     15.31     0.00       11     0.00     0.00  set_car
  0.00     15.31     0.00       11     0.00     0.00  string
  0.00     15.31     0.00       10     0.00     0.00  _read_char_from_port
  0.00     15.31     0.00       10     0.00     0.00  constructor
  0.00     15.31     0.00       10     0.00     0.00  find_matching_match_clause
  0.00     15.31     0.00       10     0.00     0.00  improper_list_length
  0.00     15.31     0.00       10     0.00     0.00  is_char_equal
  0.00     15.31     0.00       10     0.00     0.00  parse_vector
  0.00     15.31     0.00       10     0.00     0.00  pattern_match
  0.00     15.31     0.00        9     0.00     0.00  add_definition_to_context
  0.00     15.31     0.00        9     0.00     0.00  read_char_from_port
  0.00     15.31     0.00        9     0.00     0.00  symbol_exist_in_improper_list
  0.00     15.31     0.00        8     0.00     0.00  _cdr_procedure_
  0.00     15.31     0.00        8     0.00     0.00  _reverse_procedure_
  0.00     15.31     0.00        8     0.00     0.00  add_binding_to_frame
  0.00     15.31     0.00        8     0.00     0.00  define_scan
  0.00     15.31     0.00        8     0.00     0.00  hash_table_delete
  0.00     15.31     0.00        8     0.00     0.00  is_else_clause
  0.00     15.31     0.00        8     0.00     0.00  string_length
  0.00     15.31     0.00        6     0.00     0.00  _data_eval_procedure_
  0.00     15.31     0.00        6     0.00     0.00  mk_assignment
  0.00     15.31     0.00        6     0.00     0.00  mk_sexp_quoted
  0.00     15.31     0.00        5     0.00     0.00  mk_begin
  0.00     15.31     0.00        5     0.00     0.00  unquote_value
  0.00     15.31     0.00        4     0.00     0.00  _caar_procedure_
  0.00     15.31     0.00        4     0.00     0.00  _cdar_procedure_
  0.00     15.31     0.00        4     0.00     0.00  _mk_vector
  0.00     15.31     0.00        4     0.00     0.00  caar
  0.00     15.31     0.00        4     0.00     0.00  case_clause_exp
  0.00     15.31     0.00        4     0.00     0.00  case_clauses
  0.00     15.31     0.00        4     0.00     0.00  case_key
  0.00     15.31     0.00        4     0.00     0.00  case_to_cond
  0.00     15.31     0.00        4     0.00     0.00  cdar
  0.00     15.31     0.00        4     0.00     0.00  construct_case_clauses
  0.00     15.31     0.00        4     0.00     0.00  inner_construct_case_clauses
  0.00     15.31     0.00        4     0.00     0.00  is_last_clause
  0.00     15.31     0.00        4     0.00     0.00  letrec_to_let
  0.00     15.31     0.00        4     0.00     0.00  mk_apply
  0.00     15.31     0.00        4     0.00     0.00  mk_set_var_values
  0.00     15.31     0.00        4     0.00     0.00  mk_unassigned_vars
  0.00     15.31     0.00        4     0.00     0.00  mk_vector
  0.00     15.31     0.00        4     0.00     0.00  sexp_apply_arguments
